"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6261","GET /users/23 - Should return 404 for non-existing user","chromium","2026-06-25","failed","2026-06-25","ReqRes API - User Management","api/users.spec.ts","",""
"","149","DELETE /posts/1 - Should delete a post and return 200","chromium","2026-06-28","passed","2026-06-28","JSONPlaceholder API - User Management","api\users.spec.ts","",""
"","7170","GET /users - Should return success status and validate contract","chromium","2026-06-25","failed","2026-06-25","ReqRes API - User Management","api/users.spec.ts","",""
"","1225","Should add an item to the cart","chromium","2026-06-28","passed","2026-06-28","SauceDemo - UI Tests","ui\login_and_cart.spec.ts","",""
"","6216","PUT /users/2 - Should update a user and return 200","chromium","2026-06-25","failed","2026-06-25","ReqRes API - User Management","api/users.spec.ts","",""
"","525","POST /posts - Should create a post and return 201","chromium","2026-06-28","passed","2026-06-28","JSONPlaceholder API - User Management","api\users.spec.ts","",""
"","5986","DELETE /users/2 - Should delete a user and return 204","chromium","2026-06-25","failed","2026-06-25","ReqRes API - User Management","api/users.spec.ts","",""
"","6632","POST /users - Should create a user and return 201","chromium","2026-06-25","failed","2026-06-25","ReqRes API - User Management","api/users.spec.ts","",""
"","119","GET /users - Should return success status and validate contract","chromium","2026-06-28","passed","2026-06-28","JSONPlaceholder API - User Management","api\users.spec.ts","",""
"","2585","Should login successfully with valid credentials","chromium","2026-06-28","passed","2026-06-28","SauceDemo - UI Tests","ui\login_and_cart.spec.ts","",""
"","29","GET /users/999 - Should return 404 for non-existing user","chromium","2026-06-28","passed","2026-06-28","JSONPlaceholder API - User Management","api\users.spec.ts","",""
"","2531","Should show error message with invalid credentials","chromium","2026-06-28","passed","2026-06-28","SauceDemo - UI Tests","ui\login_and_cart.spec.ts","",""
"","430","PUT /posts/1 - Should update a post and return 200","chromium","2026-06-28","passed","2026-06-28","JSONPlaceholder API - User Management","api\users.spec.ts","",""
